Entity,Code,Year,Oil production (TWh)
Italy,ITA,1909,0.06978
Italy,ITA,1910,0.08141
Italy,ITA,1911,0.1163
Italy,ITA,1912,0.08141
Italy,ITA,1913,0.08141
Italy,ITA,1914,0.06978
Italy,ITA,1915,0.06978
Italy,ITA,1916,0.08141
Italy,ITA,1917,0.06978
Italy,ITA,1918,0.05815
Italy,ITA,1919,0.05815
Italy,ITA,1920,0.05815
Italy,ITA,1921,0.04652
Italy,ITA,1922,0.04652
Italy,ITA,1923,0.05815
Italy,ITA,1924,0.05815
Italy,ITA,1925,0.09304
Italy,ITA,1926,0.05815
Italy,ITA,1927,0.06978
Italy,ITA,1928,0.06978
Italy,ITA,1929,0.06978
Italy,ITA,1930,0.09304
Italy,ITA,1931,0.18608
Italy,ITA,1932,0.31401
Italy,ITA,1933,0.31401
Italy,ITA,1934,0.2326
Italy,ITA,1935,0.18608
Italy,ITA,1936,0.18608
Italy,ITA,1937,0.16282
Italy,ITA,1938,0.15119
Italy,ITA,1939,0.13956
Italy,ITA,1940,0.01163
Italy,ITA,1941,0.13956
Italy,ITA,1942,0.15119
Italy,ITA,1943,0.12793
Italy,ITA,1944,0.08141
Italy,ITA,1945,0.08141
Italy,ITA,1946,0.12793
Italy,ITA,1947,0.1163
Italy,ITA,1948,0.10467
Italy,ITA,1949,0.10467
Italy,ITA,1950,0.09304
Italy,ITA,1951,0.20934
Italy,ITA,1952,0.74432
Italy,ITA,1953,0.98855
Italy,ITA,1954,0.83736
Italy,ITA,1955,2.37252
Italy,ITA,1956,6.61747
Italy,ITA,1957,14.67706
Italy,ITA,1958,17.97998
Italy,ITA,1959,19.71285
Italy,ITA,1960,23.23674
Italy,ITA,1961,22.93436
Italy,ITA,1962,21.00378
Italy,ITA,1963,20.74792
Italy,ITA,1964,31.04047
Italy,ITA,1965,26.493141
Italy,ITA,1966,21.515501
Italy,ITA,1967,20.03849
Italy,ITA,1968,18.92201
Italy,ITA,1969,18.50333
Italy,ITA,1970,17.46826
Italy,ITA,1971,15.735391
Italy,ITA,1972,14.072301
Italy,ITA,1973,12.8511505
Italy,ITA,1974,12.8395195
Italy,ITA,1975,14.36305
Italy,ITA,1976,15.03759
Italy,ITA,1977,14.49098
Italy,ITA,1978,17.31707
Italy,ITA,1979,19.96871
Italy,ITA,1980,19.85241
Italy,ITA,1981,17.29381
Italy,ITA,1982,20.50369
Italy,ITA,1983,26.06283
Italy,ITA,1984,26.43499
Italy,ITA,1985,27.725922
Italy,ITA,1986,29.74954
Italy,ITA,1987,45.76405
Italy,ITA,1988,56.25431
Italy,ITA,1989,53.54452
Italy,ITA,1990,54.28884
Italy,ITA,1991,50.381157
Italy,ITA,1992,52.34663
Italy,ITA,1993,53.9632
Italy,ITA,1994,56.92885
Italy,ITA,1995,60.89468
Italy,ITA,1996,63.40676
Italy,ITA,1997,69.29147
Italy,ITA,1998,65.39499
Italy,ITA,1999,58.324276
Italy,ITA,2000,53.33468
Italy,ITA,2001,47.642704
Italy,ITA,2002,64.32849
Italy,ITA,2003,64.78059
Italy,ITA,2004,63.32429
Italy,ITA,2005,71.06747
Italy,ITA,2006,67.237335
Italy,ITA,2007,68.14642
Italy,ITA,2008,60.97303
Italy,ITA,2009,53.18491
Italy,ITA,2010,59.37955
Italy,ITA,2011,61.7427
Italy,ITA,2012,62.760258
Italy,ITA,2013,63.983097
Italy,ITA,2014,67.04618
Italy,ITA,2015,63.61849
Italy,ITA,2016,43.723183
Italy,ITA,2017,48.242237
Italy,ITA,2018,54.613583
Italy,ITA,2019,49.759743
Italy,ITA,2020,63.075954
Italy,ITA,2021,57.15194
Italy,ITA,2022,52.54666
Italy,ITA,2023,50.159775
Italy,ITA,2024,51.81511
Saudi Arabia,SAU,1900,0
Saudi Arabia,SAU,1901,0
Saudi Arabia,SAU,1902,0
Saudi Arabia,SAU,1903,0
Saudi Arabia,SAU,1904,0
Saudi Arabia,SAU,1905,0
Saudi Arabia,SAU,1906,0
Saudi Arabia,SAU,1907,0
Saudi Arabia,SAU,1908,0
Saudi Arabia,SAU,1909,0
Saudi Arabia,SAU,1910,0
Saudi Arabia,SAU,1911,0
Saudi Arabia,SAU,1912,0
Saudi Arabia,SAU,1913,0
Saudi Arabia,SAU,1914,0
Saudi Arabia,SAU,1915,0
Saudi Arabia,SAU,1916,0
Saudi Arabia,SAU,1917,0
Saudi Arabia,SAU,1918,0
Saudi Arabia,SAU,1919,0
Saudi Arabia,SAU,1920,0
Saudi Arabia,SAU,1921,0
Saudi Arabia,SAU,1922,0
Saudi Arabia,SAU,1923,0
Saudi Arabia,SAU,1924,0
Saudi Arabia,SAU,1925,0
Saudi Arabia,SAU,1926,0
Saudi Arabia,SAU,1927,0
Saudi Arabia,SAU,1928,0
Saudi Arabia,SAU,1929,0
Saudi Arabia,SAU,1930,0
Saudi Arabia,SAU,1931,0
Saudi Arabia,SAU,1932,0
Saudi Arabia,SAU,1933,0
Saudi Arabia,SAU,1934,0
Saudi Arabia,SAU,1935,0
Saudi Arabia,SAU,1936,0.02326
Saudi Arabia,SAU,1937,0.09304
Saudi Arabia,SAU,1938,0.77921
Saudi Arabia,SAU,1939,6.26857
Saudi Arabia,SAU,1940,8.141
Saudi Arabia,SAU,1941,6.8617
Saudi Arabia,SAU,1942,7.2106
Saudi Arabia,SAU,1943,7.5595
Saudi Arabia,SAU,1944,12.36269
Saudi Arabia,SAU,1945,33.40136
Saudi Arabia,SAU,1946,95.366
Saudi Arabia,SAU,1947,143.049
Saudi Arabia,SAU,1948,221.87714
Saudi Arabia,SAU,1949,270.26956
Saudi Arabia,SAU,1950,309.92786
Saudi Arabia,SAU,1951,431.72885
Saudi Arabia,SAU,1952,468.84018
Saudi Arabia,SAU,1953,478.83035
Saudi Arabia,SAU,1954,545.226
Saudi Arabia,SAU,1955,554.33234
Saudi Arabia,SAU,1956,570.3003
Saudi Arabia,SAU,1957,581.7791
Saudi Arabia,SAU,1958,599.9452
Saudi Arabia,SAU,1959,656.30414
Saudi Arabia,SAU,1960,750.4141
Saudi Arabia,SAU,1961,854.0723
Saudi Arabia,SAU,1962,948.2521
Saudi Arabia,SAU,1963,1031.9182
Saudi Arabia,SAU,1964,1099.8026
Saudi Arabia,SAU,1965,1291.2112
Saudi Arabia,SAU,1966,1523.1675
Saudi Arabia,SAU,1967,1643.169
Saudi Arabia,SAU,1968,1793.6106
Saudi Arabia,SAU,1969,1892.793
Saudi Arabia,SAU,1970,2234.9546
Saudi Arabia,SAU,1971,2800.4424
Saudi Arabia,SAU,1972,3538.2239
Saudi Arabia,SAU,1973,4466.09
Saudi Arabia,SAU,1974,4996.796
Saudi Arabia,SAU,1975,4179.089
Saudi Arabia,SAU,1976,5085.341
Saudi Arabia,SAU,1977,5447.446
Saudi Arabia,SAU,1978,4936.231
Saudi Arabia,SAU,1979,5675.5664
Saudi Arabia,SAU,1980,5929.0127
Saudi Arabia,SAU,1981,5888.819
Saudi Arabia,SAU,1982,3956.3425
Saudi Arabia,SAU,1983,2794.4504
Saudi Arabia,SAU,1984,2547.3987
Saudi Arabia,SAU,1985,2001.202
Saudi Arabia,SAU,1986,2937.7393
Saudi Arabia,SAU,1987,2484.2625
Saudi Arabia,SAU,1988,3178.5789
Saudi Arabia,SAU,1989,3153.7424
Saudi Arabia,SAU,1990,3984.946
Saudi Arabia,SAU,1991,4981.6616
Saudi Arabia,SAU,1992,5141.365
Saudi Arabia,SAU,1993,4992.883
Saudi Arabia,SAU,1994,5026.3213
Saudi Arabia,SAU,1995,5015.5874
Saudi Arabia,SAU,1996,5087.378
Saudi Arabia,SAU,1997,5024.416
Saudi Arabia,SAU,1998,5178.7773
Saudi Arabia,SAU,1999,4751.1567
Saudi Arabia,SAU,2000,5099.946
Saudi Arabia,SAU,2001,4974.1143
Saudi Arabia,SAU,2002,4536.3174
Saudi Arabia,SAU,2003,5355.6123
Saudi Arabia,SAU,2004,5731.1167
Saudi Arabia,SAU,2005,6008.3857
Saudi Arabia,SAU,2006,5918.9785
Saudi Arabia,SAU,2007,5686.37
Saudi Arabia,SAU,2008,5930.9995
Saudi Arabia,SAU,2009,5338.2544
Saudi Arabia,SAU,2010,5388.1865
Saudi Arabia,SAU,2011,6079.007
Saudi Arabia,SAU,2012,6387.4927
Saudi Arabia,SAU,2013,6261.744
Saudi Arabia,SAU,2014,6324.668
Saudi Arabia,SAU,2015,6606.2373
Saudi Arabia,SAU,2016,6823.463
Saudi Arabia,SAU,2017,6504.885
Saudi Arabia,SAU,2018,6708.389
Saudi Arabia,SAU,2019,6472.84
Saudi Arabia,SAU,2020,6042.749
Saudi Arabia,SAU,2021,5989.718
Saudi Arabia,SAU,2022,6665.557
Saudi Arabia,SAU,2023,6151.179
Saudi Arabia,SAU,2024,5933.262
Tunisia,TUN,1900,0
Tunisia,TUN,1901,0
Tunisia,TUN,1902,0
Tunisia,TUN,1903,0
Tunisia,TUN,1904,0
Tunisia,TUN,1905,0
Tunisia,TUN,1906,0
Tunisia,TUN,1907,0
Tunisia,TUN,1908,0
Tunisia,TUN,1909,0
Tunisia,TUN,1910,0
Tunisia,TUN,1911,0
Tunisia,TUN,1912,0
Tunisia,TUN,1913,0
Tunisia,TUN,1914,0
Tunisia,TUN,1915,0
Tunisia,TUN,1916,0
Tunisia,TUN,1917,0
Tunisia,TUN,1918,0
Tunisia,TUN,1919,0
Tunisia,TUN,1920,0
Tunisia,TUN,1921,0
Tunisia,TUN,1922,0
Tunisia,TUN,1923,0
Tunisia,TUN,1924,0
Tunisia,TUN,1925,0
Tunisia,TUN,1926,0
Tunisia,TUN,1927,0
Tunisia,TUN,1928,0
Tunisia,TUN,1929,0
Tunisia,TUN,1930,0
Tunisia,TUN,1931,0
Tunisia,TUN,1932,0
Tunisia,TUN,1933,0
Tunisia,TUN,1934,0
Tunisia,TUN,1935,0
Tunisia,TUN,1936,0
Tunisia,TUN,1937,0
Tunisia,TUN,1938,0
Tunisia,TUN,1939,0
Tunisia,TUN,1940,0
Tunisia,TUN,1941,0
Tunisia,TUN,1942,0
Tunisia,TUN,1943,0
Tunisia,TUN,1944,0
Tunisia,TUN,1945,0
Tunisia,TUN,1946,0
Tunisia,TUN,1947,0
Tunisia,TUN,1948,0
Tunisia,TUN,1949,0
Tunisia,TUN,1950,0
Tunisia,TUN,1951,0
Tunisia,TUN,1952,0
Tunisia,TUN,1953,0
Tunisia,TUN,1954,0
Tunisia,TUN,1955,0
Tunisia,TUN,1956,0
Tunisia,TUN,1957,0
Tunisia,TUN,1958,0
Tunisia,TUN,1959,0
Tunisia,TUN,1960,0
Tunisia,TUN,1961,0
Tunisia,TUN,1962,0
Tunisia,TUN,1963,0
Tunisia,TUN,1964,0
Tunisia,TUN,1965,0
Tunisia,TUN,1966,8.96673
Tunisia,TUN,1967,26.06283
Tunisia,TUN,1968,37.11133
Tunisia,TUN,1969,43.11241
Tunisia,TUN,1970,48.27613
Tunisia,TUN,1971,47.787674
Tunisia,TUN,1972,46.25251
Tunisia,TUN,1973,45.10114
Tunisia,TUN,1974,48.13657
Tunisia,TUN,1975,53.602673
Tunisia,TUN,1976,43.1473
Tunisia,TUN,1977,50.05552
Tunisia,TUN,1978,57.49872
Tunisia,TUN,1979,64.383675
Tunisia,TUN,1980,65.44201
Tunisia,TUN,1981,62.88341
Tunisia,TUN,1982,59.84798
Tunisia,TUN,1983,64.33716
Tunisia,TUN,1984,63.7324
Tunisia,TUN,1985,62.89504
Tunisia,TUN,1986,61.0575
Tunisia,TUN,1987,58.23141
Tunisia,TUN,1988,57.405678
Tunisia,TUN,1989,57.6848
Tunisia,TUN,1990,55.13085
Tunisia,TUN,1991,63.31721
Tunisia,TUN,1992,63.431183
Tunisia,TUN,1993,57.40801
Tunisia,TUN,1994,53.022335
Tunisia,TUN,1995,51.68023
Tunisia,TUN,1996,51.254574
Tunisia,TUN,1997,48.34591
Tunisia,TUN,1998,47.45505
Tunisia,TUN,1999,48.829716
Tunisia,TUN,2000,42.589058
Tunisia,TUN,2001,38.94887
Tunisia,TUN,2002,40.54218
Tunisia,TUN,2003,36.8671
Tunisia,TUN,2004,38.87909
Tunisia,TUN,2005,39.565258
Tunisia,TUN,2006,37.93706
Tunisia,TUN,2007,52.86998
Tunisia,TUN,2008,48.311016
Tunisia,TUN,2009,45.51982
Tunisia,TUN,2010,44.58942
Tunisia,TUN,2011,39.69319
Tunisia,TUN,2012,39.646667
Tunisia,TUN,2013,36.37864
Tunisia,TUN,2014,33.76189
Tunisia,TUN,2015,30.552011
Tunisia,TUN,2016,28.2609
Tunisia,TUN,2017,23.88802
Tunisia,TUN,2018,23.10881
Tunisia,TUN,2019,21.21312
Tunisia,TUN,2020,19.60818
Tunisia,TUN,2021,24.1904
Tunisia,TUN,2022,20.43391
Tunisia,TUN,2023,19.829151
Tunisia,TUN,2024,17.282179
United States,USA,1900,98.64566
United States,USA,1901,107.60076
United States,USA,1902,137.64105
United States,USA,1903,155.78384
United States,USA,1904,181.55592
United States,USA,1905,208.89806
United States,USA,1906,196.15158
United States,USA,1907,257.55798
United States,USA,1908,276.8405
United States,USA,1909,284.0395
United States,USA,1910,324.95383
United States,USA,1911,341.84058
United States,USA,1912,345.70175
United States,USA,1913,385.25537
United States,USA,1914,412.10904
United States,USA,1915,435.8924
United States,USA,1916,466.363
United States,USA,1917,519.9773
United States,USA,1918,551.9249
United States,USA,1919,605.9114
United States,USA,1920,722.4789
United States,USA,1921,752.67035
United States,USA,1922,888.7064
United States,USA,1923,1167.3147
United States,USA,1924,1140.0192
United States,USA,1925,1216.7539
United States,USA,1926,1238.2926
United States,USA,1927,1436.1422
United States,USA,1928,1437.375
United States,USA,1929,1606.1495
United States,USA,1930,1431.8507
United States,USA,1931,1357.0233
United States,USA,1932,1251.9114
United States,USA,1933,1425.0936
United States,USA,1934,1429.6875
United States,USA,1935,1566.2703
United States,USA,1936,1728.2877
United States,USA,1937,2010.4199
United States,USA,1938,1908.5645
United States,USA,1939,1988.1019
United States,USA,1940,2126.813
United States,USA,1941,2203.8384
United States,USA,1942,2179.3457
United States,USA,1943,2365.635
United States,USA,1944,2637.114
United States,USA,1945,2693.2986
United States,USA,1946,2725.1765
United States,USA,1947,2918.5718
United States,USA,1948,3175.0713
United States,USA,1949,2894.928
United States,USA,1950,3101.814
United States,USA,1951,3532.659
United States,USA,1952,3598.8687
United States,USA,1953,3704.562
United States,USA,1954,3638.399
United States,USA,1955,3904.7026
United States,USA,1956,4113.508
United States,USA,1957,4112.903
United States,USA,1958,3849.0066
United States,USA,1959,4046.4143
United States,USA,1960,4046.9492
United States,USA,1961,4120.544
United States,USA,1962,4206.094
United States,USA,1963,4326.3716
United States,USA,1964,4379.963
United States,USA,1965,4974.0864
United States,USA,1966,5286.2866
United States,USA,1967,5631.4976
United States,USA,1968,5848.4985
United States,USA,1969,5947.0205
United States,USA,1970,6204.4873
United States,USA,1971,6116.076
United States,USA,1972,6139.336
United States,USA,1973,5985.4062
United States,USA,1974,5715.055
United States,USA,1975,5463.43
United States,USA,1976,5326.305
United States,USA,1977,5382.4077
United States,USA,1978,5631.312
United States,USA,1979,5547.409
United States,USA,1980,5584.649
United States,USA,1981,5568.406
United States,USA,1982,5590.811
United States,USA,1983,5616.8555
United States,USA,1984,5770.069
United States,USA,1985,5799.941
United States,USA,1986,5609.4917
United States,USA,1987,5434.2373
United States,USA,1988,5338.8906
United States,USA,1989,4989.655
United States,USA,1990,4845.259
United States,USA,1991,4918.2886
United States,USA,1992,4803.5605
United States,USA,1993,4617.1855
United States,USA,1994,4506.6177
United States,USA,1995,4460.73
United States,USA,1996,4443.334
United States,USA,1997,4418.8193
United States,USA,1998,4281.3467
United States,USA,1999,4101.04
United States,USA,2000,4042.3733
United States,USA,2001,4006.6648
United States,USA,2002,3976.3623
United States,USA,2003,3867.6333
United States,USA,2004,3783.905
United States,USA,2005,3593.5337
United States,USA,2006,3541.373
United States,USA,2007,3546.8767
United States,USA,2008,3514.8438
United States,USA,2009,3751.6802
United States,USA,2010,3874.478
United States,USA,2011,4028.8867
United States,USA,2012,4597.0796
United States,USA,2013,5216.947
United States,USA,2014,6095.6357
United States,USA,2015,6590.3604
United States,USA,2016,6313.63
United States,USA,2017,6678.759
United States,USA,2018,7792.1
United States,USA,2019,8735.463
United States,USA,2020,8298.5
United States,USA,2021,8349.484
United States,USA,2022,8910.351
United States,USA,2023,9647.618
United States,USA,2024,9977.384
World,OWID_WRL,1900,234.94926
World,OWID_WRL,1901,262.838
World,OWID_WRL,1902,285.38858
World,OWID_WRL,1903,305.04327
World,OWID_WRL,1904,342.5384
World,OWID_WRL,1905,336.89783
World,OWID_WRL,1906,335.54877
World,OWID_WRL,1907,414.90024
World,OWID_WRL,1908,448.5342
World,OWID_WRL,1909,471.31738
World,OWID_WRL,1910,512.6388
World,OWID_WRL,1911,543.0047
World,OWID_WRL,1912,551.7505
World,OWID_WRL,1913,608.3304
World,OWID_WRL,1914,626.58954
World,OWID_WRL,1915,672.5629
World,OWID_WRL,1916,721.4903
World,OWID_WRL,1917,797.5389
World,OWID_WRL,1918,791.8169
World,OWID_WRL,1919,901.77856
World,OWID_WRL,1920,1155.3823
World,OWID_WRL,1921,1250.8414
World,OWID_WRL,1922,1396.228
World,OWID_WRL,1923,1651.332
World,OWID_WRL,1924,1646.6685
World,OWID_WRL,1925,1726.5084
World,OWID_WRL,1926,1771.9933
World,OWID_WRL,1927,2023.1199
World,OWID_WRL,1928,2124.5916
World,OWID_WRL,1929,2381.731
World,OWID_WRL,1930,2271.2344
World,OWID_WRL,1931,2197.5117
World,OWID_WRL,1932,2097.3774
World,OWID_WRL,1933,2290.2727
World,OWID_WRL,1934,2416.8884
World,OWID_WRL,1935,2627.659
World,OWID_WRL,1936,2861.7012
World,OWID_WRL,1937,3257.1443
World,OWID_WRL,1938,3179.6304
World,OWID_WRL,1939,3312.7822
World,OWID_WRL,1940,3419.4875
World,OWID_WRL,1941,3522.4246
World,OWID_WRL,1942,3315.6084
World,OWID_WRL,1943,3568.0957
World,OWID_WRL,1944,4098.133
World,OWID_WRL,1945,4093.3413
World,OWID_WRL,1946,4354.179
World,OWID_WRL,1947,4796.5376
World,OWID_WRL,1948,5428.8726
World,OWID_WRL,1949,5397.739
World,OWID_WRL,1950,6055.578
World,OWID_WRL,1951,6867.236
World,OWID_WRL,1952,7218.299
World,OWID_WRL,1953,7632.513
World,OWID_WRL,1954,7990.694
World,OWID_WRL,1955,8955.483
World,OWID_WRL,1956,9745.858
World,OWID_WRL,1957,10270.767
World,OWID_WRL,1958,10527.977
World,OWID_WRL,1959,11360.858
World,OWID_WRL,1960,12240.843
World,OWID_WRL,1961,13029.392
World,OWID_WRL,1962,14133.672
World,OWID_WRL,1963,15164.043
World,OWID_WRL,1964,16376.738
World,OWID_WRL,1965,18231.082
World,OWID_WRL,1966,19796.81
World,OWID_WRL,1967,21238.463
World,OWID_WRL,1968,23170.031
World,OWID_WRL,1969,24940.334
World,OWID_WRL,1970,27433.883
World,OWID_WRL,1971,29000.791
World,OWID_WRL,1972,30649.97
World,OWID_WRL,1973,33445.12
World,OWID_WRL,1974,33519.68
World,OWID_WRL,1975,31837.768
World,OWID_WRL,1976,34590.74
World,OWID_WRL,1977,35798.867
World,OWID_WRL,1978,36124.168
World,OWID_WRL,1979,37653.043
World,OWID_WRL,1980,35949.586
World,OWID_WRL,1981,33858.336
World,OWID_WRL,1982,32518.732
World,OWID_WRL,1983,32122.473
World,OWID_WRL,1984,32752.219
World,OWID_WRL,1985,32465.682
World,OWID_WRL,1986,34069.39
World,OWID_WRL,1987,34148.086
World,OWID_WRL,1988,35607.57
World,OWID_WRL,1989,36037.48
World,OWID_WRL,1990,36726.777
World,OWID_WRL,1991,36627.707
World,OWID_WRL,1992,37157.996
World,OWID_WRL,1993,37105.156
World,OWID_WRL,1994,37619.203
World,OWID_WRL,1995,38135.516
World,OWID_WRL,1996,39151.24
World,OWID_WRL,1997,40023.195
World,OWID_WRL,1998,41034.703
World,OWID_WRL,1999,40104.688
World,OWID_WRL,2000,41796.285
World,OWID_WRL,2001,41854.5
World,OWID_WRL,2002,41349.258
World,OWID_WRL,2003,43184.227
World,OWID_WRL,2004,45349.15
World,OWID_WRL,2005,45735.105
World,OWID_WRL,2006,46100.176
World,OWID_WRL,2007,46004.74
World,OWID_WRL,2008,46497.79
World,OWID_WRL,2009,45339.04
World,OWID_WRL,2010,46236.66
World,OWID_WRL,2011,46622.32
World,OWID_WRL,2012,47892.43
World,OWID_WRL,2013,47965.855
World,OWID_WRL,2014,49090.754
World,OWID_WRL,2015,50735.29
World,OWID_WRL,2016,50937.78
World,OWID_WRL,2017,51008.156
World,OWID_WRL,2018,52229.098
World,OWID_WRL,2019,52156.902
World,OWID_WRL,2020,48711.66
World,OWID_WRL,2021,49280.457
World,OWID_WRL,2022,51482.996
World,OWID_WRL,2023,52501.914
World,OWID_WRL,2024,52831.05
